"","Term","Estimate","StdError","zValue","Pr"
"(Intercept)","(Intercept)",3.55468967005725,0.437743988349788,8.12047627074848,4.64357762403028e-16
"Pclass","Pclass",-1.0191736321487,0.153307648903583,-6.64789812796405,2.97307954235809e-11
"Sexmale","Sexmale",-2.76112389447445,0.228093013543901,-12.1052541310873,9.90621080339606e-34
"SibSp","SibSp",-0.55138667666026,0.143346767112006,-3.8465232789619,0.000119805752730276
"Parch","Parch",-0.225184590703429,0.130542549176238,-1.72498999080691,0.0845292763397326
"Fare","Fare",0.00423055917383622,0.00279531903579514,1.51344412557646,0.13016688376327
"AgeGroupChild","AgeGroupChild",2.32742645703946,0.420521816427606,5.53461524734029,3.11912285563386e-08
"AgeGroupSenior","AgeGroupSenior",-1.10491094251771,0.602354784625568,-1.83431919313887,0.0666066267466213
"AgeGroupTeen","AgeGroupTeen",0.130904408583112,0.353584714016299,0.370220779897962,0.711217994759177
